C.1Μ:2
C1Μ:1
C2.2NF:1
CY8CMBR3116:1
DEBUG:1
IR:1
M2 SCREW:4
R220:1
R4.7K:2
R560:16
SDA SCL VCC GND IRO :1
U?:1
